MSN,YYYYMM,Value,Column_Order,Description,Unit
"""PAICPUS""","""197703""",4642.993,"""13""","""Total Petroleum Consumed by the Industrial Sector""","""Thousand Barrels per Day"""
"""PAICPUS""","""197704""",4525.914,"""13""","""Total Petroleum Consumed by the Industrial Sector""","""Thousand Barrels per Day"""
"""PAICPUS""","""197705""",4464.28,"""13""","""Total Petroleum Consumed by the Industrial Sector""","""Thousand Barrels per Day"""
"""PAICPUS""","""197706""",4920.906,"""13""","""Total Petroleum Consumed by the Industrial Sector""","""Thousand Barrels per Day"""
"""PAICPUS""","""197707""",4613.53,"""13""","""Total Petroleum Consumed by the Industrial Sector""","""Thousand Barrels per Day"""
"""PAICPUS""","""197708""",4932.175,"""13""","""Total Petroleum Consumed by the Industrial Sector""","""Thousand Barrels per Day"""
"""PAICPUS""","""197709""",4896.232,"""13""","""Total Petroleum Consumed by the Industrial Sector""","""Thousand Barrels per Day"""
"""PAICPUS""","""197710""",5019.932,"""13""","""Total Petroleum Consumed by the Industrial Sector""","""Thousand Barrels per Day"""
"""PAICPUS""","""197711""",5008.693,"""13""","""Total Petroleum Consumed by the Industrial Sector""","""Thousand Barrels per Day"""
"""PAICPUS""","""197712""",4955.887,"""13""","""Total Petroleum Consumed by the Industrial Sector""","""Thousand Barrels per Day"""
"""PAICPUS""","""197801""",4919.392,"""13""","""Total Petroleum Consumed by the Industrial Sector""","""Thousand Barrels per Day"""
"""PAICPUS""","""197802""",5131.032,"""13""","""Total Petroleum Consumed by the Industrial Sector""","""Thousand Barrels per Day"""
"""PAICPUS""","""197803""",4708.9,"""13""","""Total Petroleum Consumed by the Industrial Sector""","""Thousand Barrels per Day"""
"""PAICPUS""","""197804""",4644.52,"""13""","""Total Petroleum Consumed by the Industrial Sector""","""Thousand Barrels per Day"""
"""PAICPUS""","""197805""",4860.098,"""13""","""Total Petroleum Consumed by the Industrial Sector""","""Thousand Barrels per Day"""
"""PAICPUS""","""197806""",4820.608,"""13""","""Total Petroleum Consumed by the Industrial Sector""","""Thousand Barrels per Day"""
"""PAICPUS""","""197807""",4730.452,"""13""","""Total Petroleum Consumed by the Industrial Sector""","""Thousand Barrels per Day"""
"""PAICPUS""","""197808""",4834.793,"""13""","""Total Petroleum Consumed by the Industrial Sector""","""Thousand Barrels per Day"""
"""PAICPUS""","""197809""",4890.082,"""13""","""Total Petroleum Consumed by the Industrial Sector""","""Thousand Barrels per Day"""
