MSN,YYYYMM,Value,Column_Order,Description,Unit
"""ELETPUS""","""197611""",169346.291,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197612""",184144.107,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197701""",196665.182,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197702""",162949.088,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197703""",169437.171,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197704""",157117.355,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197705""",169596.403,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197706""",181031.212,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197707""",199167.726,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197708""",196363.166,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197709""",176497.56,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197710""",166645.282,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197711""",167388.072,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197712""",184589.27,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197801""",198107.635,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197802""",173745.731,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197803""",173460.887,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197804""",160012.982,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197805""",175548.628,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197806""",188585.386,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197807""",202947.293,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197808""",206658.749,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197809""",185802.058,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197810""",176013.116,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
