COAL,NATURALGAS,ELECTRICITY,PETRO_INDUSTRIAL,PETRO_RESIDENTIAL_COMMERCIAL,PETRO_TRANSPORTATION_ELECTRICPOWER,CO2
53155.041,1658.0,176389.093,4996.291,772.883,1560.3470000000002,410.36
58203.35,2069.0,192105.353,4907.431,974.789,1889.114,460.60900000000004
61198.502,2426.0,209986.74899999998,5525.47,1068.504,2214.105,494.61
54463.492,2204.0,186587.30899999998,5648.882,1115.4769999999999,2027.67,454.41900000000004
54864.257000000005,1881.0,183154.004,5513.83,764.8489999999999,1237.151,435.909
51601.295999999995,1594.0,170260.47199999998,4871.821,578.504,1185.202,383.215
54025.803,1429.0,178409.35600000003,5242.983,502.95599999999996,1208.2169999999999,387.9
56025.087,1309.0,186976.379,5256.047,445.032,1389.908,378.38199999999995
60397.407999999996,1330.0,202522.47699999998,5059.331,417.33099999999996,1433.07,385.89599999999996
60750.13,1342.0,205100.592,5431.578,462.035,1451.9470000000001,398.588
54219.414000000004,1329.0,180974.646,5166.454000000001,481.36699999999996,1286.719,370.657
55719.038,1557.0,179953.363,5533.2,579.31,1117.96,399.95099999999996
55996.922999999995,1768.0,177769.508,5409.196,675.4730000000001,1328.875,408.19
61262.898,2072.0,188970.171,5466.694,798.6260000000001,1406.601,452.131
63518.541,2237.743,200296.33,5402.524,1019.31,1392.408,463.846
59678.382000000005,2146.771,188961.379,5164.13,932.1489999999999,1457.11,438.273
58851.915,2053.945,187744.8,4946.504,680.403,1124.211,427.793
52635.272000000004,1534.606,169016.585,4724.227,493.092,919.195,373.654
52833.635,1356.886,176066.486,4686.375,477.11800000000005,899.543,361.096
56097.609000000004,1254.894,189748.486,4669.947,447.629,1024.829,355.276
63122.139,1295.339,217057.853,4379.347,373.036,1294.91,376.494
62751.874,1282.343,215629.38199999998,4313.670999999999,356.462,1384.774,371.735
57306.317,1299.286,191697.74,5081.973,444.898,1023.683,363.255
55775.124,1522.266,178761.03399999999,5007.417,616.957,870.903,382.006
56798.927,1760.559,178771.361,4632.094,746.0139999999999,1137.9,391.412
63359.0,2128.9570000000003,195848.927,5111.13,935.7510000000001,1281.182,451.282
67580.052,2278.606,206758.205,4690.9890000000005,1046.399,1418.826,470.139
59734.769,1895.003,179859.91,4474.391,777.918,1072.867,396.73800000000006
60069.199,1899.431,185833.88199999998,4330.231,497.98,945.548,401.675
54649.223,1488.0529999999999,172841.342,4113.655,376.164,854.0189999999999,356.392
55025.481,1426.31,178138.553,4324.735,377.51199999999994,806.324,357.33
59684.734000000004,1308.775,203020.75100000002,4333.483,364.51099999999997,1082.371,363.17400000000004
67394.25,1313.6660000000002,220654.747,4158.737,332.79400000000004,1106.384,380.57300000000004
65895.822,1312.5639999999999,210639.415,4128.119000000001,361.14,878.9739999999999,372.829
59720.63,1264.828,187051.48899999997,4400.164000000001,372.961,878.245,356.176
59161.454000000005,1518.67,181557.59,4207.665,590.762,879.89,375.81199999999995
58694.803,1618.8110000000001,175791.753,4005.167,642.258,774.673,374.12
65017.416,2076.436,195825.699,4119.417,748.7439999999999,870.059,431.45599999999996
68692.483,2399.675,209694.37300000002,4182.299,731.6339999999999,1143.53,453.13800000000003
59745.587999999996,1984.0320000000002,180545.573,4115.071,616.304,922.0980000000001,393.91900000000004
58236.142,1837.55,187967.965,3959.702,608.85,740.081,393.056
53274.175,1485.344,172876.50199999998,4113.42,607.618,636.619,363.779
54843.623,1135.848,177479.98100000003,3963.941,427.66,548.081,337.32599999999996
55949.139,1114.557,186447.11899999998,3986.239,357.50699999999995,588.6030000000001,332.92400000000004
63827.555,1144.818,210865.079,4083.211,281.885,740.832,351.736
63527.954000000005,1151.351,205891.676,4240.418,318.45099999999996,644.815,353.11300000000006
56734.35400000001,1140.232,180875.268,4080.034,475.57599999999996,583.711,334.095
55033.85,1310.003,173172.24800000002,4107.846,478.181,546.563,343.76800000000003
56830.988,1559.477,173598.759,3960.64,429.282,533.5419999999999,359.2
60213.793,1738.63,184957.943,3903.643,658.512,617.533,388.392
63018.495,2213.214,195870.84399999998,3505.285,777.2589999999999,707.138,410.977
54692.365999999995,1843.29,172725.19,3582.6929999999998,711.965,763.638,359.93199999999996
55433.54,1747.152,182768.72199999998,3592.6620000000003,681.5160000000001,683.926,381.898
52815.608,1496.5410000000002,170668.87600000002,3500.949,616.319,584.976,347.691
54327.79,1230.7060000000001,174724.813,3715.743,427.716,498.24699999999996,336.789
58236.922999999995,1066.512,191367.206,3902.617,447.491,634.188,337.93800000000005
69478.025,1061.975,220446.836,3978.3259999999996,407.397,804.525,361.486
72946.735,1099.67,230193.46,4067.025,459.11699999999996,815.6239999999999,375.342
63316.246,1038.264,195817.014,4339.161,437.309,655.0840000000001,346.63599999999997
60454.06,1101.002,183136.711,3984.381,481.36199999999997,547.4830000000001,346.226
61411.200999999994,1290.257,183170.681,4121.22,604.731,528.357,359.89099999999996
70540.323,1646.329,212555.333,3944.7509999999997,834.518,889.63,419.13599999999997
71919.567,2340.098,216923.729,4386.255,923.368,872.2180000000001,461.98199999999997
62994.93,1954.809,189810.043,4138.213,678.508,593.556,394.517
65027.775,1840.305,200387.475,4179.827,754.443,592.95,411.445
58945.005999999994,1598.622,181381.139,4110.467000000001,572.836,430.418,374.01099999999997
60165.097,1345.87,192550.198,4237.262,499.98900000000003,466.19599999999997,365.965
66706.753,1175.392,209967.31399999998,4175.013,433.798,646.817,362.68800000000005
70422.274,1152.3039999999999,221526.16199999998,4316.361,418.347,574.9169999999999,371.365
73557.45,1153.879,229531.66600000003,4393.248,478.434,708.3389999999999,384.13199999999995
64133.142,1085.049,195411.388,4204.593,498.319,444.61,347.68800000000005
64664.825999999994,1180.1760000000002,191142.43,4408.406,503.57199999999995,435.88300000000004,363.325
64613.373,1392.366,190601.865,3892.402,629.879,531.889,373.221
68145.5,1731.6570000000002,200231.958,3830.348,717.456,443.405,402.536
74849.1,2101.708,228147.888,3974.841,728.19,682.13,444.85400000000004
65777.19099999999,2147.152,198488.497,4030.452,727.725,576.632,411.49800000000005
64857.45,1720.244,195250.388,3807.094,584.455,399.51800000000003,394.69599999999997
61753.43,1445.8829999999998,185173.312,3925.639,458.68800000000005,351.704,367.994
64796.648,1147.3419999999999,197122.843,4132.78,402.99,389.50300000000004,361.57300000000004
66978.446,1076.486,205681.97100000002,4216.969,383.329,440.772,353.778
74162.318,1118.766,227003.762,4150.831,381.24,465.959,374.455
73101.563,1118.153,226286.447,4277.969,417.595,553.617,380.667
66673.298,1041.132,202712.422,4114.592000000001,431.406,436.42699999999996,345.792
65032.78599999999,1147.302,194995.217,4349.282,507.00699999999995,424.055,364.384
64865.710999999996,1312.844,192648.952,3827.1690000000003,579.2080000000001,402.10699999999997,366.589
75200.718,1903.931,219490.423,3967.408,767.1419999999999,617.299,439.075
75872.541,2152.685,217761.13600000003,3904.0009999999997,807.324,613.504,449.847
65822.741,1885.0529999999999,192582.016,3959.9240000000004,816.14,576.832,399.89599999999996
64537.96599999999,1731.49,197114.555,4003.594,670.195,552.685,407.06
58921.077000000005,1347.8329999999999,186370.454,3890.546,522.514,518.226,363.838
61559.018,1165.392,197647.49800000002,4097.501,475.85,571.607,363.54
68193.076,1036.177,215334.15600000002,4110.463,415.17699999999996,656.171,363.858
76787.333,1030.964,242953.552,3928.97,422.195,893.493,387.586
70590.401,994.837,225402.48100000003,4160.376,456.194,836.7639999999999,377.2
65293.125,939.93,206905.10100000002,4314.727,446.06800000000004,612.178,348.99300000000005
63179.272000000004,1016.429,197959.776,4423.929,535.385,539.154,361.66900000000004
63682.41,1244.243,196653.68600000002,4107.753,555.86,596.731,368.296
69792.008,1676.265,213786.542,4128.309,677.215,650.7080000000001,423.879
72647.557,2124.8070000000002,223040.975,4244.988,707.686,662.1160000000001,448.341
63090.85,1918.243,194280.625,4188.528,675.507,635.752,402.62699999999995
63784.29,1747.714,202129.944,3746.8979999999997,636.0830000000001,551.7959999999999,403.41
61471.941,1436.241,189792.417,4180.154,510.644,448.17,378.647
65950.473,1183.088,206406.878,3949.345,451.035,443.776,372.334
72204.411,1098.0819999999999,225907.915,4413.585,438.092,597.325,381.889
80478.546,1092.381,248196.22100000002,4542.5509999999995,437.205,690.6310000000001,406.176
79934.558,1124.635,247880.76,4195.214,412.647,621.719,399.224
68983.521,1043.469,213221.24899999998,4535.115,477.12199999999996,436.457,369.47
67298.576,1220.126,203214.924,4363.812,585.918,374.39599999999996,386.11
66633.901,1415.682,200479.38600000003,3919.579,606.534,547.975,384.99699999999996
74461.968,1806.34,220736.372,4245.452,714.138,604.503,442.32599999999996
78967.267,2186.595,238188.43399999998,4132.9529999999995,722.6260000000001,878.1139999999999,472.666
72165.673,2037.6970000000001,217183.08399999997,4346.488,699.306,677.677,441.61199999999997
69653.994,1866.9470000000001,214293.615,4382.683,631.591,523.758,438.675
64152.337999999996,1463.656,196297.111,3928.137,489.73,420.069,386.98
66506.652,1302.434,208703.604,4097.361,441.406,393.095,380.92900000000003
75076.25,1170.361,233065.853,4301.638,410.749,561.649,392.77
81993.87,1176.486,257742.125,4178.727,432.469,768.186,409.709
85300.987,1222.415,267928.593,4617.137,448.228,887.328,426.483
71377.027,1098.633,220392.242,4570.3679999999995,455.722,558.423,380.19300000000004
70248.363,1231.925,210813.885,4681.234,508.124,710.64,399.556
70008.168,1452.505,209814.992,4421.254,558.259,818.457,407.352
78191.217,1819.933,232987.639,4500.388,645.072,991.4630000000001,461.289
77972.523,2041.11,246766.176,4202.525,642.835,838.19,460.858
73707.444,2029.521,233782.777,4263.22,615.156,1069.901,439.67
73129.833,1971.375,241946.41,4352.565,593.991,912.867,454.284
66694.322,1609.047,222868.586,4021.31,466.898,652.389,400.259
68795.62400000001,1378.6789999999999,234824.77,4106.481,414.327,559.015,395.467
73767.343,1231.45,250919.11,4382.802,419.72,724.796,400.509
80039.787,1257.991,273457.735,4108.946,379.111,688.404,408.009
80599.391,1252.297,275419.519,4417.084,445.934,617.672,417.76599999999996
72790.488,1212.562,242793.798,4432.97,447.51599999999996,587.309,386.781
71558.601,1367.713,235669.018,4488.582,476.39300000000003,462.35900000000004,404.684
72019.256,1590.227,234249.81,4132.129,550.17,653.762,415.707
83925.271,2177.029,274448.378,4101.901,718.975,1225.241,500.56800000000004
77917.507,2164.199,255187.021,4228.9890000000005,565.952,654.658,464.45099999999996
69138.38,1864.019,229499.204,3987.454,578.327,590.761,414.102
72120.262,1829.32,244761.483,4202.167,501.224,574.227,433.43800000000005
68396.59,1631.8,229769.72699999998,4286.338,458.455,591.252,403.79400000000004
69683.12,1420.835,241773.52899999998,4322.645,425.694,536.6080000000001,400.99800000000005
75714.409,1321.763,268992.25800000003,4364.604,437.103,772.802,404.962
82114.088,1313.951,287447.762,4482.276,417.147,732.564,419.466
83806.284,1342.953,290655.25899999996,4790.998,458.519,622.839,434.74
77368.11200000001,1304.567,258356.63199999998,4533.681,456.93699999999995,474.58099999999996,395.48400000000004
75716.732,1426.626,244372.25,4466.779,481.015,414.414,410.10900000000004
72438.484,1574.0020000000002,231242.37699999998,4102.061,525.871,368.594,405.726
80083.601,1979.52,255769.835,3848.5209999999997,567.114,457.119,450.63300000000004
82810.979,2331.248,269214.313,4308.316,615.866,520.186,476.647
69163.308,1939.65,228290.13100000002,3857.97,545.6659999999999,533.429,405.506
70078.844,1876.365,240561.21600000001,3739.5559999999996,494.966,483.374,421.68
65017.029,1583.035,227798.97100000002,3966.853,438.73199999999997,459.952,387.67
70901.257,1383.932,254873.018,3939.634,397.404,606.243,392.195
75581.345,1247.8210000000001,269099.25399999996,4248.526,400.55199999999996,632.852,393.791
82301.26,1345.751,294647.834,4404.157,404.777,616.97,418.436
82276.459,1336.122,292158.58,4461.708,400.52,645.748,420.61199999999997
74643.435,1280.641,256027.328,4741.44,391.885,496.31,392.147
72948.511,1468.4289999999999,245378.242,4531.149,450.32300000000004,359.84,408.528
75197.695,1728.204,241661.365,4300.731,466.713,455.815,420.12199999999996
78306.681,2040.869,254088.633,4107.545999999999,553.966,495.65,455.35699999999997
79495.144,2280.417,267772.67,4290.674,567.589,577.128,471.149
