"COAL, Thousand Short Tons","NATURALGAS, Billion Cubic Feet","ELECTRICITY, Million Kilowatthours","PETRO_INDUSTRIAL, Thousand Barrels per Day","PETRO_COMMERCIAL, Thousand Barrels per Day","PETRO_RESIDENTIAL, Thousand Barrels per Day","PETRO_TRANSPORTATION, Thousand Barrels per Day","PETRO_ELECTRICPOWER, Thousand Barrels per Day","CO2, Million Metric Tons"
-1.2723487980052695,-0.7452062575909715,-1.4134155501177563,-0.266729583116107,-0.2848936624768784,-0.298526730376783,-1.4044820699636198,2.113967901937819,-1.2578775665951432
-1.5473243616324588,-0.690078903473732,-1.7157634613051258,-0.5621296469060054,0.2544931823325607,0.21099984147814216,-1.7436950697922773,1.9183294086252283,-1.6641313566694969
-1.42857841494194,-0.3450225017769365,-1.7195562928586225,-0.1702349697215089,1.020348530235539,1.0363772831515674,-1.5428594224914718,1.8864506022021688,-1.0233587012308762
-1.5049094281394029,-0.09797028517745572,-1.7492300155347216,-0.45921990288386644,1.5861636473464376,1.7194451872417056,-1.6098247656047322,2.2166456998751176,-0.9395658210541202
-1.3329822846707464,0.4675955329882978,-1.6104509499516149,-1.2385640599288337,3.1628483086340538,3.1583211106208706,-1.606610668447596,2.443023953061512,-0.14614439694567238
-1.2012035971863813,0.7616080882802418,-1.5460190212650433,-0.47917618374124166,2.610540154408309,2.966440095986119,-1.7053369640612346,2.4445979082932094,0.12820644624174696
-1.4414925020558753,0.13070614671627856,-1.787238695362576,-1.69313473464297,2.6379445158245156,3.010841556119002,-1.8094898876912968,2.053884231961479,-0.9752486345206957
-1.3555871795507621,0.05720300789329254,-1.6697823922665163,-1.7061170233595229,1.5711635319235886,1.9909863306215099,-1.7402123002598913,1.531534052422935,-0.7803795885444161
-1.5511918774554334,-0.6124922569383578,-1.799165859602863,-2.0757600191416743,1.1122222586414698,1.369728119245887,-1.559739249184865,1.3884263149682603,-1.5025163450242334
-1.6024072792460158,-1.1106801978497074,-1.7009105480548832,-2.277920141951484,0.03403949864881727,0.11915559642815055,-1.5713010247392543,1.3019954628107897,-1.9412955356889379
