MSN,YYYYMM,Value,Column_Order,Description,Unit
"""PAEIZUS""","""197701""",2449.005,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197702""",1815.53,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197703""",1571.323,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197704""",1482.981,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197705""",1569.769,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197706""",1686.503,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197707""",2014.884,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197708""",1827.294,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197709""",1528.459,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197710""",1290.196,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197711""",1438.308,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197712""",1834.639,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197801""",2244.424,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197802""",2414.998,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197803""",2081.352,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197804""",1440.811,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197805""",1376.638,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197806""",1548.467,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197807""",1654.022,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197808""",1817.868,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197809""",1551.866,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197810""",1425.799,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197811""",1560.347,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197812""",1889.114,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197901""",2214.105,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197902""",2027.67,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197903""",1237.151,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197904""",1185.202,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197905""",1208.217,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197906""",1389.908,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197907""",1433.07,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197908""",1451.947,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197909""",1286.719,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197910""",1117.96,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197911""",1328.875,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197912""",1406.601,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198001""",1392.408,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198002""",1457.11,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198003""",1124.211,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198004""",919.195,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198005""",899.543,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198006""",1024.829,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198007""",1294.91,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198008""",1384.774,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198009""",1023.683,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198010""",870.903,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198011""",1137.9,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198012""",1281.182,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198101""",1418.826,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198102""",1072.867,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198103""",945.548,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198104""",854.019,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198105""",806.324,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198106""",1082.371,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198107""",1106.384,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198108""",878.974,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198109""",878.245,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198110""",879.89,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
