Year,"COAL, Thousand Short Tons","NATURALGAS, Billion Cubic Feet","ELECTRICITY, Million Kilowatthours","PETRO_INDUSTRIAL, Thousand Barrels per Day","PETRO_RESIDENTIAL_COMMERCIAL, Thousand Barrels per Day","PETRO_TRANSPORTATION_ELECTRICPOWER, Thousand Barrels per Day",CO2_ based on LCA calculation (Million Metric Tons)
197903,54864.257,1881,183154.004,5513.83,764.849,1237.151,293.2113622
197904,51601.296,1594,170260.472,4871.821,578.504,1185.202,266.1971313
197905,54025.803,1429,178409.356,5242.983,502.956,1208.217,266.7691524
197906,56025.087,1309,186976.379,5256.047,445.032,1389.908,268.576012
197907,60397.408,1330,202522.477,5059.331,417.331,1433.07,285.1896925
197908,60750.13,1342,205100.592,5431.578,462.035,1451.947,287.8532954
197909,54219.414,1329,180974.646,5166.454,481.367,1286.719,263.0563808
197910,55719.038,1557,179953.363,5533.2,579.31,1117.96,277.7393439
197911,55996.923,1768,177769.508,5409.196,675.473,1328.875,288.0692003
197912,61262.898,2072,188970.171,5466.694,798.626,1406.601,319.6360885
198001,63518.541,2237.743,200296.33,5402.524,1019.31,1392.408,337.0891759
198002,59678.382,2146.771,188961.379,5164.13,932.149,1457.11,319.5494518
198003,58851.915,2053.945,187744.8,4946.504,680.403,1124.211,312.1356348
198004,52635.272,1534.606,169016.585,4724.227,493.092,919.195,265.0733267
198005,52833.635,1356.886,176066.486,4686.375,477.118,899.543,259.0672256
198006,56097.609,1254.894,189748.486,4669.947,447.629,1024.829,266.5357496
198007,63122.139,1295.339,217057.853,4379.347,373.036,1294.91,294.6713979
198008,62751.874,1282.343,215629.382,4313.671,356.462,1384.774,292.5638139
198009,57306.317,1299.286,191697.74,5081.973,444.898,1023.683,272.3927578
198010,55775.124,1522.266,178761.034,5007.417,616.957,870.903,275.3575516
198011,56798.927,1760.559,178771.361,4632.094,746.014,1137.9,289.4227212
198012,63359,2128.957,195848.927,5111.13,935.751,1281.182,329.6502116
198101,67580.052,2278.606,206758.205,4690.989,1046.399,1418.826,350.8427968
198102,59734.769,1895.003,179859.91,4474.391,777.918,1072.867,303.4741393
198103,60069.199,1899.431,185833.882,4330.231,497.98,945.548,306.2475134
198104,54649.223,1488.053,172841.342,4113.655,376.164,854.019,268.4133786
198105,55025.481,1426.31,178138.553,4324.735,377.512,806.324,268.1144012
198106,59684.734,1308.775,203020.751,4333.483,364.511,1082.371,282.3217158
198107,67394.25,1313.666,220654.747,4158.737,332.794,1106.384,306.8334127
198108,65895.822,1312.564,210639.415,4128.119,361.14,878.974,299.5775176
198109,59720.63,1264.828,187051.489,4400.164,372.961,878.245,274.4664605
198110,59161.454,1518.67,181557.59,4207.665,590.762,879.89,283.7809272
198111,58694.803,1618.811,175791.753,4005.167,642.258,774.673,285.5169634
198112,65017.416,2076.436,195825.699,4119.417,748.744,870.059,330.406024
198201,68692.483,2399.675,209694.373,4182.299,731.634,1143.53,359.7324801
198202,59745.588,1984.032,180545.573,4115.071,616.304,922.098,307.825341
198203,58236.142,1837.55,187967.965,3959.702,608.85,740.081,299.5099612
198204,53274.175,1485.344,172876.502,4113.42,607.618,636.619,265.2750515
198205,54843.623,1135.848,177479.981,3963.941,427.66,548.081,252.9629685
198206,55949.139,1114.557,186447.119,3986.239,357.507,588.603,257.7367727
198207,63827.555,1144.818,210865.079,4083.211,281.885,740.832,286.3569329
198208,63527.954,1151.351,205891.676,4240.418,318.451,644.815,284.2218182
198209,56734.354,1140.232,180875.268,4080.034,475.576,583.711,258.8880181
198210,55033.85,1310.003,173172.248,4107.846,478.181,546.563,260.4810707
198211,56830.988,1559.477,173598.759,3960.64,429.282,533.542,277.2467844
198212,60213.793,1738.63,184957.943,3903.643,658.512,617.533,298.2125552
198301,63018.495,2213.214,195870.844,3505.285,777.259,707.138,331.8317859
198302,54692.366,1843.29,172725.19,3582.693,711.965,763.638,285.8008625
198303,55433.54,1747.152,182768.722,3592.662,681.516,683.926,286.6131854
198304,52815.608,1496.541,170668.876,3500.949,616.319,584.976,263.5250729
198305,54327.79,1230.706,174724.813,3715.743,427.716,498.247,255.3529171
198306,58236.923,1066.512,191367.206,3902.617,447.491,634.188,262.5972206
198307,69478.025,1061.975,220446.836,3978.326,407.397,804.525,299.0420519
198308,72946.735,1099.67,230193.46,4067.025,459.117,815.624,312.6740017
198309,63316.246,1038.264,195817.014,4339.161,437.309,655.084,274.8164799
198310,60454.06,1101.002,183136.711,3984.381,481.362,547.483,266.5150251
198311,61411.201,1290.257,183170.681,4121.22,604.731,528.357,278.2947991
198312,70540.323,1646.329,212555.333,3944.751,834.518,889.63,328.1543802
198401,71919.567,2340.098,216923.729,4386.255,923.368,872.218,367.1815997
198402,62994.93,1954.809,189810.043,4138.213,678.508,593.556,317.1297671
198403,65027.775,1840.305,200387.475,4179.827,754.443,592.95,320.206629
198404,58945.006,1598.622,181381.139,4110.467,572.836,430.418,287.0932474
198405,60165.097,1345.87,192550.198,4237.262,499.989,466.196,281.4528554
198406,66706.753,1175.392,209967.314,4175.013,433.798,646.817,294.645277
198407,70422.274,1152.304,221526.162,4316.361,418.347,574.917,306.2694262
198408,73557.45,1153.879,229531.666,4393.248,478.434,708.339,316.768447
198409,64133.142,1085.049,195411.388,4204.593,498.319,444.61,278.8260896
198410,64664.826,1180.176,191142.43,4408.406,503.572,435.883,283.3931185
198411,64613.373,1392.366,190601.865,3892.402,629.879,531.889,293.5563203
198412,68145.5,1731.657,200231.958,3830.348,717.456,443.405,321.9371854
198501,74849.1,2101.708,228147.888,3974.841,728.19,682.13,366.0766972
198502,65777.191,2147.152,198488.497,4030.452,727.725,576.632,336.4756235
198503,64857.45,1720.244,195250.388,3807.094,584.455,399.518,311.8721572
198504,61753.43,1445.883,185173.312,3925.639,458.688,351.704,287.5065481
198505,64796.648,1147.342,197122.843,4132.78,402.99,389.503,284.171375
198506,66978.446,1076.486,205681.971,4216.969,383.329,440.772,288.8268582
198507,74162.318,1118.766,227003.762,4150.831,381.24,465.959,315.3618075
198508,73101.563,1118.153,226286.447,4277.969,417.595,553.617,312.7813636
198509,66673.298,1041.132,202712.422,4114.592,431.406,436.427,285.1809155
198510,65032.786,1147.302,194995.217,4349.282,507.007,424.055,284.1086788
198511,64865.711,1312.844,192648.952,3827.169,579.208,402.107,290.9154483
198512,75200.718,1903.931,219490.423,3967.408,767.142,617.299,354.2759544
198601,75872.541,2152.685,217761.136,3904.001,807.324,613.504,367.3495271
198602,65822.741,1885.053,192582.016,3959.924,816.14,576.832,321.5902062
198603,64537.966,1731.49,197114.555,4003.594,670.195,552.685,312.6240108
198604,58921.077,1347.833,186370.454,3890.546,522.514,518.226,276.5585854
198605,61559.018,1165.392,197647.498,4097.501,475.85,571.607,277.7639664
198606,68193.076,1036.177,215334.156,4110.463,415.177,656.171,293.2956695
198607,76787.333,1030.964,242953.552,3928.97,422.195,893.493,323.1338526
198608,70590.401,994.837,225402.481,4160.376,456.194,836.764,300.6433487
198609,65293.125,939.93,206905.101,4314.727,446.068,612.178,278.6730595
198610,63179.272,1016.429,197959.776,4423.929,535.385,539.154,274.5404075
198611,63682.41,1244.243,196653.686,4107.753,555.86,596.731,286.3813848
198612,69792.008,1676.265,213786.542,4128.309,677.215,650.708,328.4554295
198701,72647.557,2124.807,223040.975,4244.988,707.686,662.116,360.4176167
198702,63090.85,1918.243,194280.625,4188.528,675.507,635.752,317.6294382
198703,63784.29,1747.714,202129.944,3746.898,636.083,551.796,313.3828204
198704,61471.941,1436.241,189792.417,4180.154,510.644,448.17,288.3403171
198705,65950.473,1183.088,206406.878,3949.345,451.035,443.776,292.1113108
198706,72204.411,1098.082,225907.915,4413.585,438.092,597.325,309.8010475
198707,80478.546,1092.381,248196.221,4542.551,437.205,690.631,336.9862478
198708,79934.558,1124.635,247880.76,4195.214,412.647,621.719,336.9336745
198709,68983.521,1043.469,213221.249,4535.115,477.122,436.457,294.9780542
198710,67298.576,1220.126,203214.924,4363.812,585.918,374.396,296.2860335
198711,66633.901,1415.682,200479.386,3919.579,606.534,547.975,303.201699
198712,74461.968,1806.34,220736.372,4245.452,714.138,604.503,348.4445252
198801,78967.267,2186.595,238188.434,4132.953,722.626,878.114,383.9584841
198802,72165.673,2037.697,217183.084,4346.488,699.306,677.677,353.2925683
