MSN,YYYYMM,Value,Column_Order,Description,Total,Unit
"""CLTCPUS""","""197712""",54222.009,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197801""",54312.646,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197802""",45488.034,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197803""",43287.532,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197804""",46283.566,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197805""",49416.423,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197806""",52795.014,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197807""",56200.329,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197808""",58055.96,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197809""",55024.081,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197810""",53002.851,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197811""",53155.041,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197812""",58203.35,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197901""",61198.502,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197902""",54463.492,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197903""",54864.257,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197904""",51601.296,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197905""",54025.803,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197906""",56025.087,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197907""",60397.408,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197908""",60750.13,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197909""",54219.414,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197910""",55719.038,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197911""",55996.923,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197912""",61262.898,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""198001""",63518.541,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""198002""",59678.382,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""198003""",58851.915,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
