MSN,YYYYMM,Value,Column_Order,Description,Unit
"""PACCPUS""","""198412""",717.456,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198501""",728.19,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198502""",727.725,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198503""",584.455,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198504""",458.688,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198505""",402.99,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198506""",383.329,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198507""",381.24,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198508""",417.595,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198509""",431.406,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198510""",507.007,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198511""",579.208,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198512""",767.142,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198601""",807.324,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198602""",816.14,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198603""",670.195,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198604""",522.514,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198605""",475.85,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198606""",415.177,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198607""",422.195,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198608""",456.194,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198609""",446.068,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198610""",535.385,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198611""",555.86,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198612""",677.215,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198701""",707.686,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198702""",675.507,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198703""",636.083,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198704""",510.644,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198705""",451.035,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198706""",438.092,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198707""",437.205,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198708""",412.647,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198709""",477.122,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198710""",585.918,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198711""",606.534,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198712""",714.138,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198801""",722.626,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198802""",699.306,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198803""",631.591,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
